Model,Accuracy,Precision,Recall,F1-Score,Training Time (s),Prediction Time (s),Memory Before (MB),Memory After (MB),Memory Change (MB),CPU Utilization (%)
SVM - Linear,0.5206766917293233,0.4013042258723293,0.5206766917293233,0.4517601366259249,1.027195999995456,0.15728599998692516,241.2265625,240.62109375,-0.60546875,4.5
SVM - Polynomial,0.5291353383458647,0.5018758825348272,0.5291353383458647,0.4924828991750585,1.0160680999979377,0.15166240000689868,243.37109375,242.64453125,-0.7265625,7.1
SVM - RBF,0.5385338345864662,0.4959610124593208,0.5385338345864662,0.4988513699281542,1.0355803999991622,0.4547581000078935,244.8046875,245.31640625,0.51171875,3.9
"Decision Tree - depth=3, min_split=2",0.5291353383458647,0.4799625534570176,0.5291353383458647,0.4903599001211466,0.026593300004606135,0.007478100000298582,247.6640625,248.109375,0.4453125,3.1
"Decision Tree - depth=3, min_split=10",0.5291353383458647,0.4799625534570176,0.5291353383458647,0.4903599001211466,0.026961100011249073,0.008966099994722754,249.796875,249.796875,0.0,2.9
"Decision Tree - depth=5, min_split=2",0.525375939849624,0.48272034316490037,0.525375939849624,0.5001676108367265,0.03487519999907818,0.007904899990535341,251.4921875,251.4921875,0.0,1.4
"Decision Tree - depth=5, min_split=10",0.525375939849624,0.48272034316490037,0.525375939849624,0.5001676108367265,0.03538200000184588,0.0072825999959604815,237.4765625,237.7265625,0.25,3.8
"Decision Tree - depth=10, min_split=2",0.5018796992481203,0.49025258812390077,0.5018796992481203,0.4920572684031249,0.058436000006622635,0.007883500002208166,239.40234375,239.40234375,0.0,1.5
"Decision Tree - depth=10, min_split=10",0.5018796992481203,0.48602030300194327,0.5018796992481203,0.4900844463400428,0.05559309999807738,0.009033299997099675,241.078125,241.078125,0.0,3.8
"Decision Tree - depth=None, min_split=2",0.4642857142857143,0.4612177006946585,0.4642857142857143,0.4617147168514796,0.07578100000682753,0.00806649999867659,242.75390625,243.23828125,0.484375,4.4
"Decision Tree - depth=None, min_split=10",0.45958646616541354,0.4531916236517404,0.45958646616541354,0.45353503658072974,0.0673914000071818,0.008021200002986006,244.94140625,244.94140625,0.0,1.9
