Model,max_depth,min_samples_split,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time
Decision Tree,5,2,0.8748615725359912,0.8823943192275615,0.8748615725359912,0.8754826860477103,0.11080510000465438,0.002902200008975342
Decision Tree,5,10,0.8748615725359912,0.8823943192275615,0.8748615725359912,0.8754826860477103,0.1583882000122685,0.01837770000565797
Decision Tree,5,20,0.8748615725359912,0.8823943192275615,0.8748615725359912,0.8754826860477103,0.10104699997464195,0.0017522000125609338
Decision Tree,10,2,0.9021779254337394,0.9025214553693194,0.9021779254337394,0.9022620437682172,0.19101109998882748,0.0021687000116799027
Decision Tree,10,10,0.9036544850498339,0.9039475673285355,0.9036544850498339,0.9036411780989138,0.1802229000022635,0.0017769999976735562
Decision Tree,10,20,0.9047619047619048,0.905062868655874,0.9047619047619048,0.9047171992712564,0.20848480000859126,0.0026371999992989004
Decision Tree,15,2,0.9029162052417866,0.9029558615458912,0.9029162052417866,0.9028708547818801,0.25864220000221394,0.0029777000017929822
Decision Tree,15,10,0.9069767441860465,0.9068214089336338,0.9069767441860465,0.906757455085368,0.22671000001719221,0.001889500010292977
Decision Tree,15,20,0.9088224437061646,0.9086263726440919,0.9088224437061646,0.9085516521274907,0.20669849999831058,0.0017063000123016536
Decision Tree,20,2,0.8981173864894795,0.8978917829166868,0.8981173864894795,0.8979006733614969,0.20909459999529645,0.0022981000074651092
Decision Tree,20,10,0.9040236249538575,0.9037336320902241,0.9040236249538575,0.9036294380373734,0.23746509998454712,0.002949699992313981
Decision Tree,20,20,0.9084533038021411,0.9081836124367537,0.9084533038021411,0.9081321065513053,0.2086929999932181,0.002456799993524328
