Model,Accuracy,Precision,Recall,F1-Score,Execution Time (s),Memory Change (MB),Confusion Matrix
SVM - Linear Kernel,0.922144693,0.922226517,0.922144693,0.922106692,0.482839,2.66796875,"[[238   0  17   0   1   4   5]
 [  1 103   0   0   0   0   0]
 [  9   0 308   0   5   2   2]
 [  0   0   0 651   0  11  47]
 [  2   0   6   6 367   0   5]
 [  1   0   0   5   0 389  11]
 [  2   0   1  52   9   8 455]]"
SVM - Polynomial Kernel,0.914432611,0.921982987,0.914432611,0.915886503,0.5781028,1.09765625,"[[223   0   9   0   1   2  30]
 [  0 103   1   0   0   0   0]
 [  6   0 304   0   6   2   8]
 [  0   0   0 622   0   7  80]
 [  2   0   4   5 364   0  11]
 [  2   0   0   7   0 380  17]
 [  0   0   0  23   7   3 494]]"
SVM - RBF Kernel,0.922144693,0.922425652,0.922144693,0.922176719,0.8551101,-0.73046875,"[[236   0  18   0   1   4   6]
 [  0 104   0   0   0   0   0]
 [  7   0 309   0   6   2   2]
 [  0   0   0 647   0  13  49]
 [  1   0   4   5 370   0   6]
 [  3   0   0   6   0 385  12]
 [  2   0   0  49   9   7 460]]"
Decision Tree - max_depth=3,0.773044436,0.716308076,0.773044436,0.732262976,0.0540648,1.30078125,"[[  0   0 252   0   0   1  12]
 [  0   0 104   0   0   0   0]
 [  0   0 318   0   5   1   2]
 [  0   0   0 651   0  10  48]
 [  0   0  23   5 339   0  19]
 [  0   0   1  18   0 353  34]
 [  0   0   4  72   2   5 444]]"
Decision Tree - max_depth=5,0.881013588,0.885351383,0.881013588,0.880837698,0.0934539,0,"[[178   0  74   0   3   2   8]
 [  0 104   0   0   0   0   0]
 [ 24   0 294   0   5   1   2]
 [  0   0   0 638   0  12  59]
 [  1   0  22   5 348   0  10]
 [  1   0   0   9   0 380  16]
 [  0   0   4  47  10   9 457]]"
Decision Tree - max_depth=10,0.905618803,0.905952146,0.905618803,0.905693512,0.1563962,0.015625,"[[239   0  15   0   0   2   9]
 [  0 104   0   0   0   0   0]
 [ 14   0 302   0   6   2   2]
 [  0   0   0 647   0  14  48]
 [  2   0   5   6 358   0  15]
 [  3   0   1  12   0 378  12]
 [  4   0   2  63   8  12 438]]"
Decision Tree - max_depth=15,0.896437752,0.89674817,0.896437752,0.89650695,0.1684306,0,"[[238   0  16   1   0   3   7]
 [  0 104   0   0   0   0   0]
 [ 17   0 297   0   6   3   3]
 [  0   0   0 631   2  16  60]
 [  7   0   5   6 355   0  13]
 [  3   0   0  13   0 381   9]
 [  4   0   0  62  11  15 435]]"
Decision Tree - max_depth=None,0.891663606,0.89124703,0.891663606,0.891321923,0.215183,0.0078125,"[[239   0  17   1   0   2   6]
 [  0 104   0   0   0   0   0]
 [ 16   0 299   0   7   2   2]
 [  0   0   0 633   2  16  58]
 [  5   0   5   6 356   0  14]
 [  3   0   2  13   0 380   8]
 [  5   0   2  70  15  18 417]]"
Decision Tree - min_samples_split=2,0.891663606,0.89124703,0.891663606,0.891321923,0.2052763,0,"[[239   0  17   1   0   2   6]
 [  0 104   0   0   0   0   0]
 [ 16   0 299   0   7   2   2]
 [  0   0   0 633   2  16  58]
 [  5   0   5   6 356   0  14]
 [  3   0   2  13   0 380   8]
 [  5   0   2  70  15  18 417]]"
Decision Tree - min_samples_split=5,0.8942343,0.89384327,0.8942343,0.893887787,0.1868665,0,"[[239   0  17   1   0   2   6]
 [  0 104   0   0   0   0   0]
 [ 18   0 297   0   7   2   2]
 [  0   0   0 636   1  13  59]
 [  5   0   4   6 359   0  12]
 [  4   0   1  11   0 382   8]
 [  3   0   1  69  15  21 418]]"
Decision Tree - min_samples_split=10,0.898273963,0.897962577,0.898273963,0.897953767,0.2161497,0,"[[238   0  13   1   1   3   9]
 [  0 104   0   0   0   0   0]
 [ 18   0 296   0   9   1   2]
 [  0   0   0 641   1  14  53]
 [  1   0   5   6 360   0  14]
 [  3   0   0  10   0 385   8]
 [  4   0   3  65  12  21 422]]"
Decision Tree - min_samples_split=20,0.901211899,0.90095826,0.901211899,0.900809912,0.1644062,0,"[[237   0  14   0   1   3  10]
 [  0 104   0   0   0   0   0]
 [ 14   0 300   0   8   2   2]
 [  0   0   0 651   0  12  46]
 [  1   0   6   6 358   0  15]
 [  2   0   0  12   0 384   8]
 [  3   0   3  69  12  20 420]]"
Decision Tree - min_samples_split=50,0.904149835,0.903744423,0.904149835,0.903781649,0.1474237,0,"[[236   0  15   0   1   4   9]
 [  0 104   0   0   0   0   0]
 [ 16   0 298   0   8   2   2]
 [  0   0   0 647   0  13  49]
 [  4   0   6   7 363   0   6]
 [  2   0   0  10   0 385   9]
 [  5   0   1  59  15  18 429]]"
