Model,Accuracy,Precision,Recall,F1-Score,Time (s),Memory (MB)
SVM (linear),0.6114,0.5774,0.6114,0.582,0.0582,1.89
SVM (poly),0.6376,0.595,0.6376,0.6107,0.054,0.53
SVM (rbf),0.6681,0.6397,0.6681,0.642,0.0731,0
DT (max_depth=3),0.5895,0.5495,0.5895,0.5482,0.0064,0.15
DT (max_depth=5),0.5983,0.5621,0.5983,0.5759,0.005,0
DT (max_depth=10),0.6245,0.6112,0.6245,0.6167,0.008,0
DT (max_depth=None),0.6288,0.6208,0.6288,0.6245,0.008,0
DT (min_samples_split=2),0.6288,0.6208,0.6288,0.6245,0.008,0
DT (min_samples_split=5),0.6026,0.6015,0.6026,0.6001,0.009,0
DT (min_samples_split=10),0.5983,0.5922,0.5983,0.5922,0.008,0
DT (min_samples_split=20),0.559,0.5475,0.559,0.5474,0.008,0
